set_num,name,year,theme_id,num_parts,matte,transparent
00-1,Weetabix Castle,1970,414,471,471.0,0.0
0011-2,Town Mini-Figures,1978,84,12,12.0,0.0
0011-3,Castle 2 for 1 Bonus Offer,1987,199,2,0.0,0.0
0012-1,Space Mini-Figures,1979,143,12,12.0,0.0
0013-1,Space Mini-Figures,1979,143,12,12.0,0.0
0014-1,Space Mini-Figures,1979,143,12,12.0,0.0
0015-1,Space Mini-Figures,1979,143,18,18.0,0.0
0016-1,Castle Mini Figures,1978,186,15,15.0,0.0
00-2,Weetabix Promotional House 1,1976,413,147,143.0,4.0
00-3,Weetabix Promotional House 2,1976,413,149,149.0,0.0
00-4,Weetabix Promotional Windmill,1976,413,126,126.0,0.0
005-1,Basic Building Set in Cardboard,1965,366,35,35.0,0.0
00-6,Special Offer,1985,67,3,0.0,0.0
00-7,Weetabix Promotional Lego Village,1976,413,3,0.0,0.0
010-1,Basic Building Set in Cardboard,1965,366,57,53.0,4.0
010-3,Basic Building Set,1968,366,77,73.0,4.0
011-1,Basic Building Set,1968,366,145,137.0,8.0
022-1,Basic Building Set,1968,366,110,100.0,10.0
03093-1,The Race to Build It Board Game,1999,502,70,64.0,6.0
033-2,Basic Building Set,1968,366,177,171.0,6.0
044-1,Basic Building Set,1968,366,225,213.0,12.0
055-2,Basic Building Set,1968,366,256,241.0,15.0
066-1,Basic Building Set,1968,366,407,390.0,17.0
080-1,Basic Building Set with Train,1967,366,710,705.0,5.0
088-1,Super Set,1969,469,615,580.0,35.0
10000-1,Guarded Inn,2001,186,256,261.0,0.0
10001-1,Metroliner,2001,233,785,754.0,37.0
10002-1,Railroad Club Car,2001,233,272,251.0,22.0
10003-1,1 x 2 Sand Red Bricks,2001,254,100,100.0,0.0
10004-1,2 x 2 Sand Red Bricks,2001,254,100,100.0,0.0
10005-1,2 x 4 Sand Red Bricks,2001,254,50,50.0,0.0
10006-1,1 x 6 Sand Red Bricks,2001,254,50,50.0,0.0
10007-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,254,25,25.0,0.0
10008-1,2 x 4 Roof Tile Sand Red,2001,254,50,50.0,0.0
10009-1,Assorted Blue Bricks,2001,254,62,62.0,0.0
100-1,4.5V Motor with Wheels (Small Version),1966,243,16,16.0,0.0
10010-1,Assorted Yellow Bricks,2003,254,63,63.0,0.0
10011-1,Assorted Blue Plates,2001,254,42,42.0,0.0
10012-1,Assorted Yellow Plates,2001,254,42,42.0,0.0
10013-1,Open Freight Wagon,2001,238,121,121.0,0.0
10014-1,Caboose,2001,238,170,156.0,17.0
10015-1,Passenger Wagon,2001,238,194,171.0,26.0
10016-1,Tanker,2001,238,128,128.0,0.0
10017-1,Hopper Wagon,2001,238,228,229.0,0.0
10018-1,Darth Maul,2001,158,1868,1869.0,2.0
10019-1,Rebel Blockade Runner - UCS,2001,174,1747,1745.0,11.0
100-2,4.5V Motor with Wheels (Large Version),1966,243,27,27.0,0.0
10020-1,"Santa Fe Super Chief, NOT the Limited Edition",2002,236,427,419.0,10.0
10020-2,"Santa Fe Super Chief, Limited Edition",2002,236,433,423.0,10.0
10021-1,U.S.S. Constellation,2003,404,974,976.0,0.0
10022-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,237,410,374.0,39.0
10023-1,Master Builder Set,2002,324,112,110.0,3.0
10024-1,Red Baron,2002,276,669,678.0,0.0
10025-1,Santa Fe Cars - Set I (mail or baggage car),2002,237,325,307.0,19.0
10026-1,Naboo Starfighter - UCS,2002,172,187,188.0,2.0
10027-1,Train Engine Shed,2003,239,670,643.0,35.0
10029-1,Lunar Lander,2003,387,468,468.0,8.0
10030-1,Imperial Star Destroyer - UCS,2002,174,3115,3112.0,21.0
10036-1,Pizza To Go,2002,75,150,146.0,6.0
10037-1,Breezeway Cafe,2002,75,194,175.0,30.0
10039-1,Black Falcon's Fortress,2002,186,431,437.0,0.0
10040-1,Black Seas Barracuda,2002,147,914,908.0,13.0
10041-1,"Main Street, Reissue",2003,85,639,626.0,23.0
10042-1,American Flag,2003,206,35,37.0,0.0
10043-1,2x2 Electrical Plate,2002,254,1,1.0,0.0
10044-1,Windows and Doors,2002,254,44,38.0,6.0
10045-1,Pillars and Beams,2002,254,13,13.0,0.0
10046-1,Brown Tiles,2002,254,100,100.0,0.0
10047-1,Light Gray Arches,2002,254,36,36.0,0.0
10048-1,Small Wheels and Axles,2002,254,61,61.0,0.0
10049-1,Large Wheels and Axles,2002,254,31,31.0,0.0
10050-1,Gray Fences,2002,254,34,34.0,0.0
10051-1,Transparent Bricks,2002,254,50,0.0,50.0
10053-1,Black Slopes 33,2003,254,44,44.0,0.0
10054-1,Black Slopes 33 3 x 2 and 3 x 4,2003,254,68,68.0,0.0
10055-1,Black Slopes 33 3 x 1 and 3 x 3,2003,254,50,50.0,0.0
10056-1,White Plates 2 x n,2002,254,56,56.0,0.0
10057-1,Black Plates 2 x n,2002,254,56,56.0,0.0
10058-1,Red Plates 2 x n,2002,254,56,56.0,0.0
10059-1,Dark Green Plates 2 x n,2002,254,56,56.0,0.0
10060-1,Light Gray Plates 2 x n,2002,254,56,56.0,0.0
10061-1,Black Plates 1 x n,2002,254,84,84.0,0.0
10062-1,Red Plates 1 x n,2002,254,84,84.0,0.0
10063-1,Dark Green Plates 1 x n,2002,254,84,84.0,0.0
10064-1,Light Gray Plates 1 x n,2002,254,84,84.0,0.0
10065-1,White Plates 1 x n,2002,254,84,84.0,0.0
10066-1,Castle Accessories,2002,255,41,41.0,0.0
10067-1,Mini-Fig Headgear,2002,254,53,46.0,7.0
10068-1,Santa Claus,2002,227,39,40.0,0.0
10069-1,Christmas Tree,2002,227,33,33.0,0.0
10070-1,Reindeer,2002,227,26,27.0,0.0
10071-1,Mr. Bunny,2003,229,25,26.0,0.0
10072-1,TECHNIC Beams,2003,256,56,56.0,0.0
10073-1,Bushes,2003,256,130,130.0,0.0
10074-1,Cross Axles,2003,256,68,68.0,0.0
10075-1,Spider-Man Action Pack,2002,488,25,25.0,0.0
10076-1,TECHNIC Gear Wheels,2002,256,38,40.0,1.0
10077-1,TECHNIC Motor,2003,256,55,48.0,8.0
10078-1,Train Connection Wire,2003,257,1,1.0,0.0
10079-1,Snowman,2003,227,42,43.0,0.0
10080-1,Angel,2003,227,33,31.0,3.0
10081-1,Birthday Pack Heart,2004,500,70,28.0,42.0
10082-1,Birthday Pack Daisy,2004,500,70,28.0,42.0
10083-1,Birthday Pack Star,2004,500,70,28.0,42.0
10090-1,Turkey,2003,231,54,55.0,0.0
10106-1,Snowflake,2006,227,107,73.0,35.0
101-1,4.5V Battery Case,1969,243,1,1.0,0.0
10111-1,Foliferous Tree,2001,254,10,10.0,0.0
10112-1,Bush,2001,254,25,25.0,0.0
10113-1,Cypress Trees,2001,254,5,5.0,0.0
10114-1,2 x 2 Sand Red Roof Tiles,2001,254,100,100.0,0.0
10115-1,Jumper Bricks,2001,254,80,80.0,0.0
10116-1,Accessories Heart,2004,500,50,15.0,35.0
10117-1,Accessories Daisy,2004,500,50,0.0,50.0
10118-1,Accessories Star,2004,500,50,7.0,43.0
10121-1,NBA Basketball Teams,2003,459,16,16.0,0.0
10123-1,Cloud City,2003,169,707,628.0,94.0
10124-1,Wright Flyer,2003,276,663,677.0,0.0
10127-1,NHL Action Set with Stickers,2003,461,56,56.0,0.0
