set_num,name,year,theme_id,num_parts,matte,transparent
10128-1,Train Level Crossing,2003,239,326,309.0,23.0
10129-1,Rebel Snowspeeder - UCS,2003,174,1456,1450.0,15.0
101-3,4.5V Battery Case,1966,243,1,1.0,0.0
10131-1,TIE Fighter Collection,2004,169,688,652.0,36.0
10132-1,Motorized Hogwarts Express,2004,246,693,683.0,20.0
10133-1,Burlington Northern Santa Fe Locomotive,2004,236,400,391.0,10.0
10134-1,Y-wing Attack Starfighter - UCS,2004,174,1487,1497.0,6.0
10143-1,Death Star II,2005,174,3460,3390.0,70.0
10144-1,Sandcrawler,2005,169,1679,1681.0,19.0
10145-1,Assorted Light Gray Bricks,2004,254,124,125.0,0.0
10146-1,Assorted Dark Gray Bricks,2004,254,62,63.0,0.0
10147-1,Assorted Brown Bricks,2004,254,62,62.0,0.0
10148-1,Assorted Light Gray Plates,2004,254,84,84.0,0.0
10149-1,Assorted Dark Gray Plates,2004,254,42,42.0,0.0
10150-1,Assorted Brown Plates,2004,254,42,42.0,0.0
10151-1,Hot Rod,2004,278,420,420.0,10.0
10152-1,Maersk Sealand Container Ship 2004 Edition,2004,276,982,958.0,33.0
10152-2,Maersk Sealand Container Ship 2005 Edition,2005,276,982,958.0,33.0
10152-3,Maersk Line Container Ship 2006 Edition,2006,276,982,958.0,33.0
10153-1,Electric Train Motor 9V (My Own Train),2002,244,3,3.0,0.0
10155-1,Maersk Line Container Ship 2010 Edition,2010,276,984,958.0,35.0
10156-1,LEGO Truck,2004,85,105,102.0,6.0
10157-1,High Speed Train Locomotive,2004,239,134,117.0,18.0
10158-1,High Speed Train Car,2004,239,151,131.0,21.0
10159-1,City Airport -City Logo Box,2004,53,913,832.0,97.0
10159-2,City Airport -Full Size Image Box,2004,68,913,832.0,97.0
10160-1,Black Ridge Roof Tiles,2004,254,48,48.0,0.0
10161-1,Black Roof Tiles,2004,254,76,76.0,0.0
10162-1,Red Ridge Tiles,2004,254,48,48.0,0.0
10163-1,Red Roof Tiles,2004,254,76,76.0,0.0
10165-1,Elf Boy,2004,227,27,29.0,0.0
10166-1,Elf Girl,2004,227,31,32.0,2.0
10167-1,Brickmaster Kit (with Digital Designer CD),2004,301,182,176.0,14.0
10168-1,Mrs. Bunny,2005,229,64,68.0,0.0
10169-1,Chicken & Chicks,2005,229,60,62.0,0.0
10170-1,TTX Intermodal Double-Stack Car,2005,236,365,365.0,0.0
10173-1,Holiday Train,2006,236,969,930.0,57.0
10174-1,Imperial AT-ST - UCS,2006,174,1070,1082.0,0.0
10175-1,Vader's TIE Advanced - UCS,2006,174,1211,1199.0,13.0
10176-1,Royal King's Castle,2006,197,871,857.0,22.0
10177-1,Boeing 787 Dreamliner,2006,276,1196,1140.0,68.0
10178-1,Motorized Walking AT-AT,2007,169,1137,1147.0,1.0
10179-1,Millennium Falcon - UCS,2007,174,5195,5161.0,56.0
10181-1,Eiffel Tower 1:300 Scale,2007,276,3428,3359.0,84.0
10182-1,Cafe Corner,2007,155,2058,2040.0,49.0
10183-1,Hobby Train,2007,397,1080,1010.0,84.0
10184-1,Town Plan,2008,104,2017,2003.0,87.0
10185-1,Green Grocer,2008,155,2358,2386.0,29.0
10186-1,General Grievous,2008,173,1084,1034.0,75.0
10187-1,Volkswagen Beetle (VW Beetle),2008,276,1625,1630.0,12.0
10188-1,Death Star,2008,174,3807,3708.0,178.0
10189-1,Taj Mahal,2008,276,5922,5554.0,408.0
10190-1,Market Street,2007,155,1250,1275.0,2.0
10191-1,Star Justice,2008,397,884,847.0,41.0
10192-1,Space Skulls,2008,397,956,868.0,100.0
10193-1,Medieval Market Village,2009,193,1616,1634.0,18.0
10194-1,Emerald Night,2009,240,1089,1079.0,26.0
10195-1,Republic Dropship with AT-OT,2009,165,1757,1772.0,4.0
10196-1,Grand Carousel,2009,276,3260,3183.0,112.0
10197-1,Fire Brigade,2009,155,2236,2213.0,65.0
10198-1,Tantive IV,2009,169,1408,1395.0,29.0
10199-1,Winter Toy Shop,2009,227,815,790.0,51.0
10-2,Universal Building Set,1976,469,129,125.0,4.0
10200-1,Custom Car Garage,2008,397,893,868.0,44.0
10201-1,Takutanuva,2003,347,3,1.0,0.0
10202-1,Ultimate Dume (Limited Edition with Exclusive Mask Of Power),2004,347,6,3.0,0.0
10202-2,Ultimate Dume,2004,347,3,0.0,0.0
10203-1,Voporak,2005,347,3,0.0,0.0
10204-1,Vezon & Kardas,2006,347,3,0.0,0.0
10205-1,Locomotive,2002,238,231,229.0,7.0
102-1,4.5V Motor Set,1968,243,24,24.0,0.0
10210-1,Imperial Flagship,2010,153,1623,1621.0,18.0
10211-1,Grand Emporium,2010,155,2186,2048.0,173.0
10212-1,Imperial Shuttle - UCS,2010,174,2502,2482.0,36.0
10213-1,Shuttle Adventure,2010,276,1203,1174.0,48.0
10213sup-1,Supplemental Pack for Shuttle Adventure Set 10213,2010,443,29,29.0,0.0
10214-1,Tower Bridge,2010,276,4295,4223.0,112.0
10215-1,Obi-Wan's Jedi Starfighter - UCS,2010,175,675,681.0,7.0
10216-1,Winter Village Bakery,2010,227,686,673.0,29.0
10217-1,Diagon Alley,2011,246,2031,1947.0,125.0
10218-1,Pet Shop,2011,155,2034,2031.0,69.0
10219-1,Maersk Container Train,2011,240,1232,1241.0,30.0
10220-1,Volkswagen T1 Camper Van,2011,276,1333,1322.0,38.0
10221-1,Super Star Destroyer,2011,174,3151,3144.0,32.0
10222-1,Winter Village Post Office,2011,227,821,781.0,58.0
10223-1,Kingdoms Joust,2012,196,1574,1599.0,25.0
10224-1,Town Hall,2012,155,2771,2721.0,97.0
10225-1,R2-D2,2012,171,2130,2146.0,20.0
10226-1,Sopwith Camel,2012,276,877,894.0,1.0
10227-1,B-wing Starfighter,2012,174,1484,1510.0,13.0
10228-1,Haunted House,2012,558,2062,2069.0,23.0
10229-1,Winter Village Cottage,2012,227,1490,1469.0,63.0
10230-1,Mini Modulars,2012,156,1358,1315.0,103.0
10231-1,Shuttle Expedition,2011,276,1229,1187.0,59.0
10232-1,Palace Cinema,2013,155,2192,2141.0,109.0
10233-1,Horizon Express,2013,240,1349,1342.0,37.0
10234-1,Sydney Opera House,2013,276,2988,2729.0,281.0
10235-1,Winter Village Market [Initial Release],2013,227,1259,1202.0,97.0
10236-1,Ewok Village,2013,169,2023,2047.0,33.0
10237-1,The Tower of Orthanc,2013,568,2360,2402.0,25.0
10240-1,Red Five X-Wing Starfighter,2013,174,1573,1564.0,14.0
10241-1,Maersk Line Triple-E,2014,38,1515,1499.0,42.0
10242-1,Mini Cooper,2014,22,1074,1090.0,46.0
10242-2,Mini Cooper,2015,22,1076,1090.0,46.0
10243-1,Parisian Restaurant,2014,155,2469,2489.0,69.0
10244-1,Fairground Mixer,2014,22,1743,1679.0,120.0
10245-1,Santa’s Workshop,2014,228,882,891.0,42.0
1024601-1,Adventurers Value Pack (TRU Exclusive),2001,297,3,1.0,0.0
10246-1,Detective’s Office,2015,155,2261,2253.0,79.0
10247-1,Ferris Wheel,2015,22,2463,2436.0,65.0
10248-1,Ferrari F40,2015,22,1157,1158.0,32.0
10249-1,Winter Toy Shop,2015,227,895,859.0,82.0
10250-1,Year Of The Snake,2013,22,244,246.0,5.0
10251-1,Brick Bank,2016,155,2383,2292.0,165.0
10252-1,Volkswagen Beetle,2016,22,1166,1191.0,28.0
10253-1,Big Ben,2016,43,4166,3672.0,587.0
10254-1,Winter Holiday Train,2016,227,737,701.0,72.0
10255-1,Assembly Square,2017,155,4009,3997.0,150.0
10257-1,Carousel,2017,22,2669,2569.0,100.0
10285-1,Compass Sensor for Mindstorms NXT,2011,259,1,1.0,0.0
10287-1,Intelligent NXT Brick (Black),2009,259,1,1.0,0.0
1029-1,Milk Delivery Truck - Tine,1999,75,90,87.0,6.0
102A-1,Front-End Loader,1970,416,64,53.0,11.0
102A-2,Front-End Loader,1970,416,56,48.0,8.0
10-3,Locomotive Wheels,1977,456,8,8.0,0.0
1030-1,TECHNIC I: Simple Machines Set,1985,1,189,189.0,0.0
103-1,4.5V Motor Set with Rubber Tracks,1969,473,24,24.0,0.0
1031-1,Building Cards - 1030,1983,532,20,20.0,0.0
1032-1,TECHNIC II Set {4.5v},1985,1,278,278.0,0.0
1033-1,Building Cards - 1032,1985,532,20,20.0,0.0
1034-1,Teachers Resource Set,1985,532,1534,1534.0,0.0
1038-1,ERBIE the Robo-Car,1985,1,120,120.0,0.0
1039-1,Manual Control Set 1,1986,1,39,39.0,0.0
104-1,Replacement 4.5V Motor,1970,243,1,1.0,0.0
1045-2,Educational LEGO Building Set,1976,511,683,660.0,23.0
1049-1,Ships - 247 elements and 1 poster,1985,510,238,209.0,29.0
10500-1,Horse Stable,2013,504,44,44.0,0.0
10501-1,Zoo friends,2013,504,5,4.0,1.0
10504-1,My First Circus,2013,504,62,60.0,2.0
10505-1,Play House,2013,504,83,83.0,0.0
10506-1,Train Accessory Set,2013,504,24,24.0,0.0
10507-1,My First Train Set,2013,504,52,51.0,1.0
10508-1,Deluxe Train Set,2013,504,134,132.0,2.0
10509-1,Dusty and Chug,2013,504,16,15.0,1.0
105-1,Canada Post Truck,1984,81,65,62.0,3.0
10510-1,Ripslinger's Air Race,2013,504,40,40.0,0.0
10511-1,Skipper's Flight School,2013,504,49,49.0,0.0
10512-1,Jake's Treasure Hunt,2013,504,22,22.0,0.0
10513-1,Never Land Hideout,2013,504,37,33.0,4.0
10514-1,Jake's Pirate Ship Bucky,2013,504,56,54.0,2.0
10515-1,Ariel's Undersea Castle,2013,504,39,34.0,5.0
10516-1,Ariel's Magical Boat Ride,2012,504,29,26.0,3.0
10517-1,My First Garden,2013,504,37,37.0,0.0
10518-1,My First Construction Site,2013,504,47,46.0,1.0
105-2,Building Set,1973,469,150,150.0,0.0
10520-1,Big Front Loader,2013,504,12,12.0,0.0
10521-1,Baby Calf,2014,504,9,9.0,0.0
10522-1,Farm Animals,2014,504,12,12.0,0.0
10524-1,Farm Tractor,2014,504,29,29.0,0.0
10525-1,Big Farm,2014,504,121,121.0,0.0
10526-1,Peter Pan's Visit,2014,504,39,37.0,2.0
10527-1,Ambulance,2014,504,14,14.0,0.0
10528-1,School Bus,2014,504,26,26.0,0.0
10529-1,Truck,2014,504,16,16.0,0.0
1053-1,Community Buildings,1984,533,895,852.0,43.0
10531-1,Mickey Mouse and Friends,2012,504,65,65.0,0.0
10532-1,My First Police Set,2014,504,39,39.0,0.0
10538-1,Fire and Rescue Team,2014,506,30,26.0,4.0
10539-1,Beach Racing,2014,504,36,34.0,2.0
1054-1,Stena Line Ferry,1999,471,211,202.0,9.0
10542-1,Sleeping Beauty's Fairy Tale,2014,579,55,55.0,0.0
10543-1,Superman™ Rescue,2014,504,19,19.0,0.0
10544-1,The Joker Challenge,2014,504,40,39.0,1.0
10545-1,Batcave Adventure,2014,504,59,58.0,1.0
10546-1,My First Shop,2014,504,39,39.0,0.0
10550-1,Circus Transport,2013,504,9,9.0,0.0
10552-1,Creative Cars,2013,504,42,42.0,0.0
10553-1,Toddler Build and Play Cubes,2013,505,17,17.0,0.0
10554-1,Toddler Build and Pull Along,2013,505,15,15.0,0.0
10555-1,Creative Bucket,2013,505,65,63.0,2.0
10557-1,Giant Tower,2013,504,200,198.0,2.0
10558-1,Number Train,2013,504,31,31.0,0.0
1056-1,Basic School Pack - 773 elements with teacher's manual,1985,534,785,775.0,10.0
10561-1,Toddler Starter Building Set,2013,505,37,37.0,0.0
10565-1,LEGO® DUPLO® Creative Suitcase,2014,504,135,133.0,2.0
10566-1,Creative Picnic,2014,504,52,52.0,0.0
10567-1,Toddler Build and Boat Fun,2014,504,18,18.0,0.0
10568-1,Knight Tournament,2014,504,16,16.0,0.0
10569-1,Treasure Attack,2014,504,46,46.0,0.0
10570-1,LEGO® DUPLO® All-in-One-Gift-Set,2014,504,30,30.0,0.0
10571-1,All-in-One-Pink-Box-of-Fun,2014,504,65,65.0,0.0
10572-1,All-in-One-Box-of-Fun,2014,504,65,65.0,0.0
10573-1,Creative Animals,2014,504,25,25.0,0.0
10574-1,Creative Ice Cream,2014,504,23,23.0,0.0
10575-1,Duplo Creative Building Cube,2014,504,75,75.0,0.0
10576-1,Zoo Care,2014,504,9,9.0,0.0
10577-1,Big Royal Castle,2014,504,135,134.0,1.0
10579-1,Clubhouse Café,2014,504,16,16.0,0.0
10580-1,Deluxe Box of Fun,2014,504,95,93.0,2.0
10581-1,Forest: Ducks,2015,504,13,13.0,0.0
10582-1,Forest: Animals,2015,504,39,39.0,0.0
10583-1,Forest: Fishing Trip,2015,504,30,29.0,1.0
10584-1,Forest: Park,2015,504,102,102.0,0.0
10585-1,Mom and Baby,2015,504,13,13.0,0.0
10586-1,Ice Cream Truck,2015,504,11,11.0,0.0
10587-1,Café,2015,504,51,51.0,0.0
10589-1,Rally Car,2015,504,13,13.0,0.0
10590-1,Airport,2015,504,29,29.0,0.0
10591-1,Fire Boat,2015,504,19,17.0,2.0
10592-1,Fire Truck,2015,504,26,25.0,1.0
10593-1,Fire Station,2015,504,104,103.0,1.0
10594-1,Sofia the First™ Royal Stable,2015,504,38,38.0,0.0
10595-1,Sofia the First™ Royal Castle,2015,504,87,86.0,1.0
10596-1,Disney Princess™ Collection,2015,504,63,62.0,1.0
10597-1,Mickey & Minnie Birthday Parade,2015,504,24,24.0,0.0
10599-1,Batman Adventure,2015,504,46,46.0,0.0
10600-1,Disney • Pixar Cars™ Classic Race,2015,506,29,28.0,1.0
1060-1,Road Plates and Signs,1981,533,30,30.0,0.0
10601-1,Delivery Vehicle,2015,504,19,19.0,0.0
10602-1,Camping,2015,504,37,36.0,1.0
10603-1,My First Bus,2015,504,17,17.0,0.0
10604-1,Jake and the Never Land Pirates Treasure Island,2015,504,25,25.0,0.0
10605-1,Doc McStuffins Rosie the Ambulance,2015,504,16,15.0,1.0
10606-1,Doc McStuffins Backyard Clinic,2015,504,39,39.0,0.0
10607-1,Spider-Man Web-Bike Workshop,2015,504,13,13.0,0.0
10608-1,Spider-Man Spider Truck Adventure,2015,504,28,27.0,1.0
106-1,UNICEF Van,1985,79,59,54.0,5.0
1061-1,Single Disk Pack,2000,20,1,1.0,0.0
10615-1,My First Tractor,2015,504,12,12.0,0.0
10616-1,My First Playhouse,2015,504,25,25.0,0.0
10617-1,My First Farm,2015,504,26,26.0,0.0
10618-1,LEGO® DUPLO® Creative Building Box,2015,504,69,69.0,0.0
1062-1,{Town Vehicles},1980,533,158,152.0,6.0
10622-1,Large Creative Box,2015,504,193,191.0,2.0
10623-1,Basic Bricks – Large,2015,505,0,0.0,0.0
1063-1,Community Workers,1985,533,169,142.0,27.0
1064-1,Dacta Buildings,1981,533,0,0.0,0.0
1065-1,House Accessories - 182 elements,1985,534,196,184.0,18.0
10654-1,XL Creative Brick Box,2016,365,1599,1602.0,13.0
10655-1,Monster Trucks,2013,37,197,180.0,27.0
10656-1,My First LEGO Princess,2013,22,88,90.0,5.0
10657-1,My First LEGO Set,2013,37,148,137.0,17.0
10659-1,Blue Suitcase,2013,37,152,150.0,7.0
10660-1,Pink Suitcase,2013,37,157,152.0,11.0
1066-1,36 Little People + Accessories,1982,533,174,174.0,0.0
10661-1,My First LEGO Fire Station,2013,22,90,79.0,15.0
10662-1,LEGO Creative Bucket,2013,37,607,601.0,6.0
10663-1,LEGO Creative Chest,2013,22,607,583.0,33.0
10664-1,Creative Tower,2013,22,1599,1602.0,13.0
10665-1,Spider-Man: Spider-Car Pursuit,2014,591,55,51.0,4.0
10666-1,Digger,2014,591,75,73.0,2.0
10667-1,Construction,2014,591,159,155.0,5.0
10668-1,The Princess Play Castle,2014,591,149,156.0,5.0
10669-1,Turtle Lair,2014,591,107,106.0,3.0
1067-1,Community Vehicles,1988,507,251,227.0,24.0
10671-1,Fire Emergency,2014,591,123,109.0,16.0
10672-1,Batman: Defend the Batcave,2014,591,150,139.0,12.0
10673-1,Race Car Rally,2014,591,349,337.0,13.0
10674-1,Pony Farm,2014,591,305,306.0,0.0
10675-1,Police – The Big Escape,2014,591,146,128.0,18.0
10676-1,Knights’ Castle,2014,591,479,478.0,4.0
10677-1,Beach Excursion,2015,591,74,77.0,2.0
10679-1,Pirate Treasure Hunt,2015,591,57,55.0,2.0
10680-1,Garbage Truck,2015,591,99,88.0,11.0
1068-1,Air Patrol,1999,87,20,20.0,2.0
10681-1,Creative Building Cube,2014,37,599,589.0,11.0
10682-1,Creative Suitcase,2014,37,1016,990.0,27.0
10683-1,Road Work Truck,2015,591,132,121.0,11.0
10684-1,Supermarket Suitcase,2015,591,132,122.0,10.0
10685-1,Fire Suitcase,2015,591,113,88.0,25.0
10686-1,Family House,2015,591,226,219.0,15.0
10687-1,Spider-Man™ Hideout,2015,591,137,126.0,11.0
1069-1,Speedboat,1999,77,22,21.0,1.0
10692-1,Creative Bricks,2015,366,220,226.0,5.0
10693-1,Creative Supplement,2015,366,302,293.0,14.0
10693-1-s1,Rocket,2015,365,12,10.0,2.0
10694-1,Creative Supplement Bright,2015,366,302,299.0,10.0
10695-1,Creative Building Box,2015,366,579,553.0,45.0
10696-1,Medium Creative Brick Box,2015,366,483,469.0,15.0
10697-1,XXXL Box,2015,365,1499,1440.0,75.0
10698-1,Large Creative Brick Box,2015,366,789,774.0,30.0
10699-1,Sand Baseplate,2015,365,1,1.0,0.0
10700-1,Green Baseplate,2015,365,1,1.0,0.0
1070-1,Stunt Flyer,1999,87,20,19.0,1.0
10701-1,Gray Baseplate,2015,365,1,1.0,0.0
10702-1,Creative Building Set,2016,365,582,541.0,42.0
10703-1,Creative Builder Box,2017,365,499,456.0,43.0
10704-1,Creative Box,2017,365,900,863.0,37.0
10705-1,Creative Building Basket,2016,366,999,948.0,52.0
10706-1,Blue Creative Box,2017,365,78,74.0,5.0
10707-1,Red Creative Box,2017,365,55,55.0,1.0
10708-1,Green Creative Box,2017,365,66,66.0,1.0
10709-1,Orange Creative Box,2017,365,60,62.0,2.0
107-1,4.5V Motor Set,1976,473,31,31.0,0.0
107-2,Canada Post Mail Truck,1985,81,138,129.0,9.0
10720-1,Police Helicopter Chase,2016,591,63,55.0,10.0
10721-1,Iron Man vs Loki,2016,591,66,54.0,12.0
10722-1,Snake Showdown,2016,591,92,76.0,17.0
10723-1,Ariel's Dolphin Carriage,2016,591,70,60.0,14.0
10724-1,Batman & Superman vs. Lex Luthor,2016,482,164,145.0,20.0
10725-1,Lost Temple,2016,591,171,146.0,25.0
10726-1,Stephanie's Horse Carriage,2016,496,58,62.0,0.0
10727-1,Emma's Ice Cream Truck,2016,494,136,120.0,16.0
10728-1,Mia's Vet Clinic,2016,494,182,164.0,18.0
10729-1,Cinderella's Carriage,2016,591,116,119.0,10.0
10734-1,Demolition Site,2017,591,162,148.0,14.0
10735-1,Police Truck Chase,2017,591,90,79.0,11.0
10736-1,Anna & Elsa's Frozen Playground,2017,591,94,78.0,20.0
10737-1,Batman vs. Mr. Freeze,2017,591,63,53.0,10.0
10740-1,Fire Patrol Suitcase,2017,591,108,90.0,18.0
10746-1,Mia's Farm Suitcase,2017,591,104,109.0,2.0
10747-1,Andrea and Stephanie's Beach Holiday,2017,591,141,140.0,9.0
1075-1,LEGO People Supplementary Set,1980,511,256,256.0,0.0
1076-1,Advent Calendar 1999,1999,207,228,208.0,20.0
1076-10,Advent Calendar 1999 (Day  9) Fire Engine,1999,217,10,8.0,2.0
1076-11,Advent Calendar 1999 (Day 10) Santa Minifig,1999,217,5,5.0,0.0
1076-12,Advent Calendar 1999 (Day 11) Dog,1999,217,8,8.0,0.0
1076-13,Advent Calendar 1999 (Day 12) Hippo,1999,217,9,9.0,0.0
1076-14,Advent Calendar 1999 (Day 13) Hovercraft,1999,217,10,9.0,1.0
1076-15,Advent Calendar 1999 (Day 14) Penguin,1999,217,8,8.0,0.0
1076-16,Advent Calendar 1999 (Day 15) Elf,1999,217,12,11.0,1.0
1076-17,Advent Calendar 1999 (Day 16) Seaplane,1999,217,10,7.0,3.0
1076-18,Advent Calendar 1999 (Day 17) Gentleman,1999,217,10,10.0,0.0
1076-19,Advent Calendar 1999 (Day 18) Elephant,1999,217,10,10.0,0.0
1076-2,Advent Calendar 1999 (Day  1) Plane,1999,217,11,8.0,3.0
1076-20,Advent Calendar 1999 (Day 19) Sea Plane,1999,217,8,7.0,1.0
1076-21,Advent Calendar 1999 (Day 20) Cow,1999,217,10,10.0,0.0
