set_num,lego_info,value
10115-1,theme_id,254
10115-1,num_parts,80
10116-1,num_parts,50
10116-1,theme_id,500
10117-1,num_parts,50
10117-1,theme_id,500
10118-1,num_parts,50
10118-1,theme_id,500
10121-1,theme_id,459
10121-1,num_parts,16
10123-1,num_parts,707
10123-1,theme_id,169
10124-1,theme_id,276
10124-1,num_parts,663
10127-1,theme_id,461
10127-1,num_parts,56
10128-1,num_parts,326
10128-1,theme_id,239
10129-1,theme_id,174
10129-1,num_parts,1456
10131-1,num_parts,688
10131-1,theme_id,169
10132-1,num_parts,693
10132-1,theme_id,246
10133-1,num_parts,400
10133-1,theme_id,236
10134-1,theme_id,174
10134-1,num_parts,1487
10143-1,theme_id,174
10143-1,num_parts,3460
10144-1,theme_id,169
10144-1,num_parts,1679
10145-1,num_parts,124
10145-1,theme_id,254
10146-1,num_parts,62
10146-1,theme_id,254
10147-1,num_parts,62
10147-1,theme_id,254
10148-1,theme_id,254
10148-1,num_parts,84
10149-1,num_parts,42
10149-1,theme_id,254
10150-1,theme_id,254
10150-1,num_parts,42
10151-1,num_parts,420
10151-1,theme_id,278
10152-1,theme_id,276
10152-1,num_parts,982
10152-2,theme_id,276
10152-2,num_parts,982
10152-3,num_parts,982
10152-3,theme_id,276
10153-1,theme_id,244
10153-1,num_parts,3
10155-1,theme_id,276
10155-1,num_parts,984
10156-1,theme_id,85
10156-1,num_parts,105
10157-1,num_parts,134
10157-1,theme_id,239
10158-1,theme_id,239
10158-1,num_parts,151
10159-1,theme_id,53
10159-1,num_parts,913
10159-2,theme_id,68
10159-2,num_parts,913
10160-1,theme_id,254
10160-1,num_parts,48
10161-1,theme_id,254
10161-1,num_parts,76
10162-1,theme_id,254
10162-1,num_parts,48
10163-1,theme_id,254
10163-1,num_parts,76
10165-1,theme_id,227
10165-1,num_parts,27
10166-1,num_parts,31
10166-1,theme_id,227
10167-1,num_parts,182
10167-1,theme_id,301
10168-1,num_parts,64
10168-1,theme_id,229
10169-1,num_parts,60
10169-1,theme_id,229
10170-1,theme_id,236
10170-1,num_parts,365
10173-1,num_parts,969
10173-1,theme_id,236
10174-1,theme_id,174
10174-1,num_parts,1070
10175-1,num_parts,1211
10175-1,theme_id,174
10176-1,num_parts,871
10176-1,theme_id,197
10177-1,num_parts,1196
10177-1,theme_id,276
10178-1,theme_id,169
10178-1,num_parts,1137
10179-1,num_parts,5195
10179-1,theme_id,174
10181-1,theme_id,276
10181-1,num_parts,3428
10182-1,theme_id,155
10182-1,num_parts,2058
10183-1,theme_id,397
10183-1,num_parts,1080
10184-1,theme_id,104
10184-1,num_parts,2017
10185-1,theme_id,155
10185-1,num_parts,2358
10186-1,theme_id,173
10186-1,num_parts,1084
10187-1,num_parts,1625
10187-1,theme_id,276
10188-1,num_parts,3807
10188-1,theme_id,174
10189-1,theme_id,276
10189-1,num_parts,5922
10190-1,theme_id,155
10190-1,num_parts,1250
10191-1,theme_id,397
10191-1,num_parts,884
10192-1,num_parts,956
10192-1,theme_id,397
10193-1,num_parts,1616
10193-1,theme_id,193
10194-1,num_parts,1089
10194-1,theme_id,240
10195-1,num_parts,1757
10195-1,theme_id,165
10196-1,theme_id,276
10196-1,num_parts,3260
10197-1,theme_id,155
10197-1,num_parts,2236
10198-1,num_parts,1408
10198-1,theme_id,169
10199-1,num_parts,815
10199-1,theme_id,227
102-1,theme_id,243
102-1,num_parts,24
10200-1,theme_id,397
10200-1,num_parts,893
10201-1,num_parts,3
10201-1,theme_id,347
10202-1,num_parts,6
10202-1,theme_id,347
10202-2,theme_id,347
10202-2,num_parts,3
10203-1,num_parts,3
10203-1,theme_id,347
10204-1,num_parts,3
10204-1,theme_id,347
10205-1,num_parts,231
10205-1,theme_id,238
10210-1,num_parts,1623
10210-1,theme_id,153
10211-1,theme_id,155
