inventory_id,set_num,quantity,name,year,theme_id,num_parts,_merge
35,75911-1,1,McLaren Mercedes Pit Stop,2015,601,340,both
35,75912-1,1,Porsche 911 GT Finish Line,2015,601,561,both
39,75048-1,1,The Phantom,2014,182,233,both
39,75053-1,1,The Ghost,2014,182,927,both
50,4515-1,1,Straight Rails,1991,244,8,both
309,4515-1,7,Straight Rails,1991,244,8,both
561,4515-1,1,Straight Rails,1991,244,8,both
5358,4515-1,1,Straight Rails,1991,244,8,both
5491,4515-1,1,Straight Rails,1991,244,8,both
6050,4515-1,1,Straight Rails,1991,244,8,both
6330,4515-1,3,Straight Rails,1991,244,8,both
10158,4515-1,1,Straight Rails,1991,244,8,both
13917,4515-1,1,Straight Rails,1991,244,8,both
15164,4515-1,2,Straight Rails,1991,244,8,both
50,4520-1,2,Curved Rails,1991,244,8,both
309,4520-1,5,Curved Rails,1991,244,8,both
561,4520-1,2,Curved Rails,1991,244,8,both
5491,4520-1,1,Curved Rails,1991,244,8,both
6050,4520-1,1,Curved Rails,1991,244,8,both
6330,4520-1,2,Curved Rails,1991,244,8,both
10158,4520-1,2,Curved Rails,1991,244,8,both
13917,4520-1,2,Curved Rails,1991,244,8,both
15164,4520-1,2,Curved Rails,1991,244,8,both
50,4531-1,1,Manual Points,1991,244,6,both
309,4531-1,3,Manual Points,1991,244,6,both
6330,4531-1,2,Manual Points,1991,244,6,both
15164,4531-1,1,Manual Points,1991,244,6,both
71,7690-1,1,MB-01 Eagle Command Base,2007,137,763,both
5114,7690-1,1,MB-01 Eagle Command Base,2007,137,763,both
71,7691-1,1,ETX Alien Mothership Assault,2007,137,433,both
5114,7691-1,1,ETX Alien Mothership Assault,2007,137,433,both
71,7692-1,1,MX-71 Recon Dropship,2007,137,434,both
5114,7692-1,1,MX-71 Recon Dropship,2007,137,434,both
71,7693-1,1,ETX Alien Strike,2007,137,245,both
5114,7693-1,1,ETX Alien Strike,2007,137,245,both
71,7694-1,1,MT-31 Trike,2007,137,94,both
5114,7694-1,1,MT-31 Trike,2007,137,94,both
71,7695-1,1,MX-11 Astro Fighter,2007,137,56,both
5114,7695-1,1,MX-11 Astro Fighter,2007,137,56,both
71,7697-1,1,MT-51 Claw-Tank Ambush,2007,137,373,both
5114,7697-1,1,MT-51 Claw-Tank Ambush,2007,137,373,both
81,8451-1,1,Dumper,2003,7,183,both
81,8453-1,1,Front End Loader,2003,7,214,both
87,10233-1,1,Horizon Express,2013,240,1349,both
87,88002-1,1,Power Functions Train Motor,2011,438,7,both
87,8870-1,1,Power Functions Light,2009,438,1,both
973,8870-1,1,Power Functions Light,2009,438,1,both
7391,8870-1,1,Power Functions Light,2009,438,1,both
87,8878-1,1,Rechargeable Battery Box,2009,438,1,both
973,8878-1,1,Rechargeable Battery Box,2009,438,1,both
7391,8878-1,1,Rechargeable Battery Box,2009,438,1,both
87,8879-1,1,IR Speed Remote Control,2009,438,1,both
973,8879-1,1,IR Speed Remote Control,2009,438,1,both
7391,8879-1,1,IR Speed Remote Control,2009,438,1,both
87,8884-1,1,Power Functions IR Receiver,2008,438,1,both
973,8884-1,1,Power Functions IR Receiver,2008,438,1,both
7391,8884-1,1,Power Functions IR Receiver,2008,438,1,both
104,4103-1,1,Fun with Bricks {small red bucket},2002,37,200,both
104,4782-1,1,Box of Bricks,2005,48,200,both
122,7238-1,1,Fire Helicopter,2005,58,75,both
1401,7238-1,1,Fire Helicopter,2005,58,75,both
3109,7238-1,1,Fire Helicopter,2005,58,75,both
4261,7238-1,1,Fire Helicopter,2005,58,75,both
4430,7238-1,1,Fire Helicopter,2005,58,75,both
4969,7238-1,1,Fire Helicopter,2005,58,75,both
6282,7238-1,1,Fire Helicopter,2005,58,75,both
9178,7238-1,1,Fire Helicopter,2005,58,75,both
11861,7238-1,1,Fire Helicopter,2005,58,75,both
15694,7238-1,1,Fire Helicopter,2005,58,75,both
122,7890-1,1,Ambulance,2006,60,117,both
4187,7890-1,1,Ambulance,2006,60,117,both
6205,7890-1,1,Ambulance,2006,60,117,both
9178,7890-1,1,Ambulance,2006,60,117,both
10028,7890-1,1,Ambulance,2006,60,117,both
13355,7890-1,1,Ambulance,2006,60,117,both
13398,7890-1,1,Ambulance,2006,60,117,both
122,7944-1,1,Fire Hovercraft,2007,58,273,both
1418,7944-1,1,Fire Hovercraft,2007,58,273,both
4261,7944-1,1,Fire Hovercraft,2007,58,273,both
6282,7944-1,1,Fire Hovercraft,2007,58,273,both
9178,7944-1,1,Fire Hovercraft,2007,58,273,both
131,7634-1,1,Tractor,2009,57,77,both
7151,7634-1,1,Tractor,2009,57,77,both
131,7635-1,1,4WD with Horse Trailer,2009,57,176,both
131,7684-1,1,Pig Farm & Tractor,2010,57,256,both
251,3886-2,1,Ryo Walker - Boxed Version,2007,389,19,both
263,7575-10,1,Advent Calendar 2004 Clikits (Day  9) Bracelet,2004,222,4,both
263,7575-11,1,Advent Calendar 2004 Clikits (Day 10) Hair Band,2004,222,5,both
263,7575-12,1,Advent Calendar 2004 Clikits (Day 11) Icons,2004,222,10,both
263,7575-13,1,Advent Calendar 2004 Clikits (Day 12) Necklace,2004,222,8,both
263,7575-14,1,Advent Calendar 2004 Clikits (Day 13) Hair Band,2004,222,4,both
263,7575-15,1,Advent Calendar 2004 Clikits (Day 14) Gift Tag with Icons,2004,222,4,both
